Name,Address,City,State,Zip,Category
GRAND MART,4600 COOPER LANE,HYATTSVILLE,MD,20784,Grocery Store- Medium
SAVE A LOT #546,5416 ANNAPOLIS ROAD,BLADENSBURG,MD,20710,Grocery Store- Medium
AMERICANA GROCERY OF MARYLAND,4900 ANNAPOLIS ROAD,BLADENSBURG,MD,20710,Grocery Store- Medium
J&A ENVIOS EXPRESS,5400 ANNAPOLIS ROAD,BLADENSBURG,MD,20710,Grocery Store
TIENDA LOS HORIZONTES 2,6000 66TH AVENUE,RIVERDALE,MD,20737,Grocery Store
MEGAMART,5801 RIVERDALE ROAD,RIVERDALE,MD,20737,Grocery Store- Medium
LA GRANDE SUPERMARKET,5821 RIVERDALE ROAD,RIVERDALE,MD,20737,Grocery Store
NEW GRAND MART,8401 ANNAPOLIS ROAD,HYATTSVILLE,MD,20784,Grocery Store- Medium
MERCADITO CRUZ,5611 AGER ROAD,HYATTSVILLE,MD,20782,Grocery Store
ALDI INC #06,3025 HAMILTON STREET,HYATTSVILLE,MD,20782,Grocery Store- Medium
TARGET STORE T-1004,4600 MITCHELLVILLE ROAD,BOWIE,MD,20716,Grocery Store- Medium
BESTWAY SUPERMARKET,3511 HAMILTON STREET,HYATTSVILLE,MD,20782,Grocery Store- Medium
AFRIK INTERNATIONAL FOOD MARKET,6690 OLD LANDOVER ROAD,HYATTSVILLE,MD,20785,Grocery Store
AFRIK FARMERS MARKET,6689 OLD LANDOVER ROAD,HYATTSVILLE,MD,20785,Grocery Store
CAMERON'S SEAFOOD RESTAURANT,8807 CENTRAL AVENUE,CAPITOL HEIGHTS,MD,20743,Seafood
LA BENDICION MARKET,4905 SUITLAND ROAD,SUITLAND,MD,20746,Grocery Store
CAMERONS SEAFOOD MARKET #8,3919 BRANCH AVENUE,TEMPLE HILLS,MD,20748,Seafood
ALDI INC #38,7500 ALBERT ROAD,BRANDYWINE,MD,20613,Grocery Store- Medium
SHOPPERS FOOD #52032 (2350),5820 SILVER HILL ROAD,DISTRICT HEIGHTS,MD,20747,Grocery Store - Large
PRICE RITE OF DISTRICT HEIGHTS #4837,5800 SILVER HILL ROAD,DISTRICT HEIGHTS,MD,20747,Grocery Store- Medium
ALDI INC # 25,6301 MARLBORO PIKE,DISTRICT HEIGHTS,MD,20747,Grocery Store- Medium
SHOPPERS FOOD #52069 (2377),2950 DONNELL DRIVE,DISTRICT HEIGHTS,MD,20747,Grocery Store - Large
TARGET STORE T-1897,3101 DONNELL DRIVE,DISTRICT HEIGHTS,MD,20747,Grocery Store- Medium
SHOPPERS FOOD #52053 (2369),6111 LIVINGSTON ROAD,OXON HILL,MD,20745,Grocery Store - Large
CAMERON'S SEAFOOD MARKET,6171 OXON HILL ROAD,OXON HILL,MD,20745,Seafood
ALDI' INC #36,6400 ALLENTOWN ROAD,TEMPLE HILLS,MD,20748,Grocery Store- Medium
LA ESPERANZA GROCERY,7500 ALLENTOWN ROAD,FORT WASHINGTON,MD,20744,Grocery Store
M&M BEVERAGES CORP,7601 OLD BRANCH AVENUE,CLINTON,MD,20735,Grocery Store
SHOPPERS FOOD #52023 (2342),6300 COVENTRY WAY,CLINTON,MD,20735,Grocery Store - Large
ALDI #175,8827 WOODYARD ROAD,CLINTON,MD,20735,Grocery Store- Medium
B K MILLER SUPER LIQUORS,9024 OLD BRANCH AVENUE,CLINTON,MD,20735,Grocery Store
GIANT FOOD STORE #340,1009 FAIRLAWN AVENUE,LAUREL,MD,20707,Grocery Store - Large
ALDI #52,14100 BALTIMORE AVENUE,LAUREL,MD,20707,Grocery Store- Medium
LADY INTERNATIONAL FOOD - GROCERY STORE,318 SECOND STREET,LAUREL,MD,20707,Grocery Store
SAFEWAY #107,7595 GREENBELT ROAD,GREENBELT,MD,20770,Grocery Store - Large
LA COLONIA SUPER MARKET,4901 ALLENTOWN ROAD,SUITLAND,MD,20746,Grocery Store
SUPER STORE INTERNATIONAL MARKET,202 FORT MEADE ROAD,LAUREL,MD,20707,Grocery Store
WEIS MARKETS INC #276,15789 LIVINGSTON ROAD,ACCOKEEK,MD,20607,Grocery Store - Large
GIANT FOOD STORE #338,7025 BERRY ROAD,ACCOKEEK,MD,20607,Grocery Store - Large
MEGA MART SUPERMARKET,111 BOWIE ROAD,LAUREL,MD,20707,Grocery Store- Medium
JUMBO FOOD INTERNATIONAL,3201 BRINKLEY ROAD,TEMPLE HILLS,MD,20748,Grocery Store- Medium
INTERNATIONAL FOOD MARKET OF BELTSVILLE,11118 BALTIMORE AVENUE,BELTSVILLE,MD,20705,Grocery Store
FOOD LION #2566,12675 LAUREL BOWIE ROAD,LAUREL,MD,20708,Grocery Store - Large
GIANT FOOD STORE #373,5500 SILVER HILL ROAD,DISTRICT HEIGHTS,MD,20747,Grocery Store - Large
FOOD LION #1662,410 SANDY SPRING ROAD,LAUREL,MD,20707,Grocery Store - Large
DIVINE UNITY FOODS,14265 BALTIMORE AVENUE,LAUREL,MD,20707,Grocery Store
STAR HALAL MEAT,4936 EDGEWOOD ROAD,COLLEGE PARK,MD,20740,Meat/Poultry Market
BESTWAY SUPERMARKET,9145 RIGGS ROAD,HYATTSVILLE,MD,20783,Grocery Store- Medium
EL CORDOBES,9933 RHODE ISLAND AVENUE,COLLEGE PARK,MD,20740,Grocery Store
MERCADITO RAMOS,8000 NEW HAMPSHIRE AVENUE,HYATTSVILLE,MD,20783,Grocery Store
LIDL,8601 BALTIMORE AVENUE,COLLEGE PARK,MD,20740,Grocery Store- Medium
SILVER SPRING MARKET,1525 UNIVERSITY BOULEVARD,HYATTSVILLE,MD,20783,Grocery Store
SUNU HALAL,2063 UNIVERSITY BOULEVARD,HYATTSVILLE,MD,20783,Meat/Poultry Market
TARGET STORE T3211,4500 COLLEGE AVENUE,COLLEGE PARK,MD,20740,Grocery Store- Medium
MI PUEBLITO MERCADO LATINO,5604 KENILWORTH AVENUE,RIVERDALE,MD,20737,Grocery Store
SAVEMART,5550 KENILWORTH AVENUE,RIVERDALE,MD,20737,Grocery Store- Medium
BONIVIA INTERNATIONAL FOODS,3020 HAMILTON STREET,HYATTSVILLE,MD,20782,Grocery Store
CECI'S TIENDA LATINA,6216 RHODE ISLAND AVENUE,RIVERDALE,MD,20737,Grocery Store
SHOPPERS FOOD #52018 (2339),7790 RIVERDALE ROAD,HYATTSVILLE,MD,20784,Grocery Store - Large
FOODWAY SUPERMARKET,8484 ANNAPOLIS ROAD,HYATTSVILLE,MD,20784,Grocery Store- Medium
KROOTOWN ROAD INTERNATIONAL FOOD MARKET,9035 LANHAM SEVERN ROAD,LANHAM,MD,20706,Grocery Store
SAFEWAY #2713,12410 FAIRWOOD PARKWAY,BOWIE,MD,20720,Grocery Store - Large
NOURA HALAL MEAT MARKET,7441 ANNAPOLIS ROAD,HYATTSVILLE,MD,20784,Meat/Poultry Market
PRICE RITE SUPERMARKETS,3104 QUEENS CHAPEL ROAD,HYATTSVILLE,MD,20782,Grocery Store- Medium
THE STORE,3811 HAMILTON STREET,HYATTSVILLE,MD,20781,Grocery Store
MEGAMART SUPERMARKET,2441 CHILLUM ROAD,HYATTSVILLE,MD,20782,Grocery Store- Medium
ECO FOOD STORE,7449 ANNAPOLIS ROAD,HYATTSVILLE,MD,20784,Grocery Store
ADMAS MARKET,7453 ANNAPOLIS ROAD,HYATTSVILLE,MD,20784,Grocery Store
EL PRIMO GROCERY,5022 EDMONSTON ROAD,HYATTSVILLE,MD,20781,Grocery Store
MI RANCHITO GROCERY STORE,7454 ANNAPOLIS ROAD,HYATTSVILLE,MD,20784,Grocery Store
SHOPPERS FOOD #52076 (2383),10501 MARTIN LUTHER KING JUNIOR HIGHWAY,BOWIE,MD,20720,Grocery Store - Large
TARGET STORE T-2007,10401 MARTIN LUTHER KING JUNIOR HIGHWAY,BOWIE,MD,20720,Grocery Store- Medium
CRAB GALLEY OF BOWIE,7410 LAUREL BOWIE ROAD,BOWIE,MD,20715,Seafood
LA FRONTERA MARKET AND DELI,6303 NEW HAMPSHIRE AVENUE,HYATTSVILLE,MD,20783,Grocery Store
DENNISS EXPRESS,6315 NEW HAMPSHIRE AVENUE,HYATTSVILLE,MD,20783,Grocery Store
MI PAIS LATIN AMERICAN MARKET,6573 AGER ROAD,HYATTSVILLE,MD,20782,Grocery Store
J&J INTERNATIONAL FOOD STORE,9456 LANHAM SEVERN ROAD,LANHAM,MD,20706,Grocery Store
SAVE A LOT #545,5615 SARGENT ROAD,HYATTSVILLE,MD,20782,Grocery Store- Medium
ALDI INC # 37,6810 RACE TRACK ROAD,BOWIE,MD,20715,Grocery Store- Medium
MOM'S ORGANIC MARKET,6824 RACE TRACK ROAD,BOWIE,MD,20715,Grocery Store- Medium
EL RANCHITO,9350 LANHAM SEVERN ROAD,LANHAM,MD,20706,Grocery Store
LIDL US,13401 ANNAPOLIS ROAD,BOWIE,MD,20720,Grocery Store- Medium
GIANT FOOD STORE #140,5815 EASTERN AVENUE,HYATTSVILLE,MD,20782,Grocery Store - Large
NAANA INTERNATIONAL FOODS,6339 NEW HAMPSHIRE AVENUE,HYATTSVILLE,MD,20783,Grocery Store- Medium
SHOPPERS FOOD #52019 (2340),6881 NEW HAMPSHIRE AVENUE,TAKOMA PARK,MD,20912,Grocery Store - Large
KIRKWOOD MARKET,2721 NICHOLSON STREET,HYATTSVILLE,MD,20782,Grocery Store
COMPARE FOOD,3831 BLADENSBURG ROAD,BRENTWOOD,MD,20722,Grocery Store
GLUT FOOD CO-OP,4005 34TH STREET,MOUNT RAINIER,MD,20712,Grocery Store
MEDI MARKET AND KITCHEN,3233 RHODE ISLAND AVENUE,MOUNT RAINIER,MD,20712,Grocery Store
MANILA MART,5023 GARRETT AVENUE,BELTSVILLE,MD,20705,Grocery Store
HABESHA INTERNATIONAL MARKET,2311 VARNUM STREET,MOUNT RAINIER,MD,20712,Grocery Store
BB LATINO SUPERMARKET,4321 KENILWORTH AVENUE,BLADENSBURG,MD,20710,Grocery Store
EL PALENQUE MINI GROCERY,3408 RHODE ISLAND AVENUE,MOUNT RAINIER,MD,20712,Grocery Store
DENCO FOODS INC,8413 ARDWICK ARDMORE ROAD,HYATTSVILLE,MD,20785,Grocery Store
TROPICANA STORE,3505 MARYLAND AVENUE,HYATTSVILLE,MD,20785,Grocery Store
BIG MARKET INTERNATIONAL,5459 ANNAPOLIS ROAD,BLADENSBURG,MD,20710,Grocery Store
WEGMANS,9001 MCHUGH DRIVE,LANHAM,MD,20706,Grocery Store - Large
METRO SUPERMARKET,7734 LANDOVER ROAD,HYATTSVILLE,MD,20785,Grocery Store- Medium
ALDI 41,6524 LANDOVER ROAD,HYATTSVILLE,MD,20785,Grocery Store- Medium
PRIME INTERNATIONAL FOODS,8571 LANDOVER ROAD,HYATTSVILLE,MD,20785,Meat/Poultry Market
SHOPPERS FOOD #52034 (2352),7051 MARTIN LUTHER KING JUNIOR HIGHWAY,HYATTSVILLE,MD,20785,Grocery Store - Large
GIANT FOOD STORE #107,11701 BELTSVILLE DRIVE,BELTSVILLE,MD,20705,Grocery Store- Medium
SAVE A LOT #8045,5933 MARTIN LUTHER KING JUNIOR HIGHWAY,CAPITOL HEIGHTS,MD,20743,Grocery Store- Medium
GIANT FOOD STORE #347,10480 CAMPUS WAY SOUTH,UPPER MARLBORO,MD,20774,Grocery Store - Large
TARGET STORE #T1006,10500 CAMPUS WAY SOUTH,UPPER MARLBORO,MD,20774,Grocery Store- Medium
MARYLAND'S FRESH SEAFOOD,62 WATKINS PARK DRIVE,UPPER MARLBORO,MD,20774,Seafood
SOPHIA MARKET,5000 EDGEWOOD ROAD,COLLEGE PARK,MD,20740,Grocery Store
MI BARRIO LATIN MARKET,10504 BALTIMORE AVENUE,BELTSVILLE,MD,20705,Grocery Store
M & M INTERNATIONAL MARKET,5244 MARLBORO PIKE,CAPITOL HEIGHTS,MD,20743,Grocery Store
SAVE-A-LOT #533,7782 MARLBORO PIKE,DISTRICT HEIGHTS,MD,20747,Grocery Store- Medium
LIDL,7200 MARLBORO PIKE,DISTRICT HEIGHTS,MD,20747,Grocery Store- Medium
CRAB LINE,7607 MARLBORO PIKE,DISTRICT HEIGHTS,MD,20747,Seafood
ALDI #45,10912 BALTIMORE AVENUE,BELTSVILLE,MD,20705,Grocery Store- Medium
TIENDA KARINA SPANISH MARKET,5681 SUITLAND ROAD,SUITLAND,MD,20746,Grocery Store
TIGER MARKET,823 SOUTHERN AVENUE,OXON HILL,MD,20745,Grocery Store- Medium
GIANT FOOD STORE #342,4119 BRANCH AVENUE,TEMPLE HILLS,MD,20748,Grocery Store - Large
SAVE-A-LOT,2346 IVERSON STREET,TEMPLE HILLS,MD,20748,Grocery Store- Medium
WAL-MART STORE #2799,8755 BRANCH AVENUE,CLINTON,MD,20735,Grocery Store
COUNTRY SEAFOOD,16705 BRANDYWINE ROAD,BRANDYWINE,MD,20613,Seafood
HARRIS TEETER 324,15501 ANNAPOLIS ROAD,BOWIE,MD,20715,Grocery Store - Large
WINNER'S INTERNATIONAL FOOD' INC,6511 ANNAPOLIS ROAD,HYATTSVILLE,MD,20784,Grocery Store
CAPITAL HALAL MARKET,6509 ANNAPOLIS ROAD,HYATTSVILLE,MD,20784,Meat/Poultry Market
GIANT FOOD STORE #341,20 AUDREY LANE,OXON HILL,MD,20745,Grocery Store - Large
MOES CRABS,710 ACCOKEEK ROAD,ACCOKEEK,MD,20607,Seafood
CAPTAIN PETER'S SEAFOOD & CRAB,6589 COVENTRY WAY,CLINTON,MD,20735,Seafood
SEASIDE SEAFOOD,9816 PISCATAWAY ROAD,CLINTON,MD,20735,Seafood
TARGET T-3339,6163 OXON HILL ROAD,OXON HILL,MD,20745,Grocery Store- Medium
SAFEWAY #1882,990 EAST SWAN CREEK ROAD,FORT WASHINGTON,MD,20744,Grocery Store - Large
GIANT FOOD STORE #123,7074 ALLENTOWN ROAD,TEMPLE HILLS,MD,20748,Grocery Store - Large
SAFEWAY #1443,8785 BRANCH AVENUE,CLINTON,MD,20735,Grocery Store - Large
FILIPINO GLOBAL MARKET,6365 LIVINGSTON ROAD,OXON HILL,MD,20745,Grocery Store
SAVE A LOT #547-5807,6309 LIVINGSTON ROAD,OXON HILL,MD,20745,Grocery Store- Medium
ALDI INC #19,6301 LIVINGSTON ROAD,OXON HILL,MD,20745,Grocery Store- Medium
SAFEWAY #4872,6235 OXON HILL ROAD,OXON HILL,MD,20745,Grocery Store - Large
TROPICAL FOOD INC,603 SEVENTH STREET,LAUREL,MD,20707,Grocery Store
BIG BAZAAR,14703 BALTIMORE AVENUE UNIT A,LAUREL,MD,20707,Grocery Store- Medium
THINK FRESH MARKET AND SMOOTHIE BAR,9430 ANNAPOLIS ROAD,LANHAM,MD,20706,Grocery Store
THREE BROTHERS MARKET,4521 KENILWORTH AVENUE,BLADENSBURG,MD,20710,Grocery Store
TARGET STORE T-1295,6100 GREENBELT ROAD,GREENBELT,MD,20770,Grocery Store- Medium
HARRIS TEETER #408,14702 BALTIMORE AVENUE,LAUREL,MD,20707,Grocery Store - Large
YES! ORGANIC MARKET,5331 BALTIMORE AVENUE,HYATTSVILLE,MD,20781,Grocery Store
SHOPPERS FOOD #52050 (2366),4720 CHERRY HILL ROAD,COLLEGE PARK,MD,20740,Grocery Store - Large
WAL-MART STORE #5129,6210 ANNAPOLIS ROAD,HYATTSVILLE,MD,20784,Grocery Store
WHOLE FOODS MARKET,6621 BALTIMORE AVENUE,RIVERDALE,MD,20737,Grocery Store - Large
GIANT FOOD #310,15520 ANNAPOLIS ROAD,BOWIE,MD,20715,Grocery Store - Large
SHOPPERS FOOD #52072 (2379),13600 BALTIMORE AVENUE,LAUREL,MD,20707,Grocery Store - Large
NEW GRAND MART,1535 UNIVERSITY BOULEVARD,HYATTSVILLE,MD,20783,Grocery Store- Medium
IROKO FOODS,11000 BALTIMORE AVENUE,BELTSVILLE,MD,20705,Grocery Store
SUPER BEST INTERNATIONAL MARKET,13600 LAUREL BOWIE ROAD,LAUREL,MD,20708,Grocery Store
AL-MADINA HALAL MEAT & GROCERY,15101 BALTIMORE AVENUE,LAUREL,MD,20707,Grocery Store
DIANA'S GROCERY & PARTY,15101 BALTIMORE AVENUE,LAUREL,MD,20707,Grocery Store
SAFEWAY #3274,3702 EAST WEST HIGHWAY,HYATTSVILLE,MD,20782,Grocery Store - Large
LA MUTERITA VARIEDADES,1401 UNIVERSITY BOULEVARD,HYATTSVILLE,MD,20783,Grocery Store
BISMILLAH HALAL MEAT MARKET,1401 UNIVERSITY BOULEVARD,HYATTSVILLE,MD,20783,Grocery Store- Medium
GIANT FOOD STORE #316,6000 GREENBELT ROAD,GREENBELT,MD,20770,Grocery Store - Large
LAUREL DUTCH MARKET - BEILER'S MEATS,9701 FORT MEADE ROAD,LAUREL,MD,20707,Meat/Poultry Market
LAUREL DUTCH MARKET - YODERS POULTRY,9701 FORT MEADE ROAD,LAUREL,MD,20707,Meat/Poultry Market
TARGET T-2394,15922 ROBERT CRAIN HIGHWAY SOUTHEAST,BRANDYWINE,MD,20613,Grocery Store- Medium
GIANT FOOD STORE #330,3500 ROBERT CRAIN HIGHWAY NORTHWEST,BOWIE,MD,20716,Grocery Store - Large
WAL-MART STORE #1893,3300 ROBERT CRAIN HIGHWAY NORTHWEST,BOWIE,MD,20716,Grocery Store
SAFEWAY #2853,15916 ROBERT CRAIN HIGHWAY SOUTHEAST,BRANDYWINE,MD,20613,Grocery Store - Large
GIANT FOOD STORE #361,5700 ROBERT CRAIN HIGHWAY SOUTHEAST,UPPER MARLBORO,MD,20772,Grocery Store - Large
FOOD LION #1414,9500 ROBERT CRAIN HIGHWAY SOUTHEAST,UPPER MARLBORO,MD,20772,Grocery Store - Large
TARGET STORE T-1890,3500 EAST WEST HIGHWAY,HYATTSVILLE,MD,20782,Grocery Store- Medium
DUTCH VILLAGE MARKET - CK MEATS,5030 BROWN STATION ROAD,UPPER MARLBORO,MD,20772,Meat/Poultry Market
DUTCH VILLAGE FARMERS MARKET STOLTZFUS POULTRY,5030 BROWN STATION ROAD,UPPER MARLBORO,MD,20772,Meat/Poultry Market
SAFEWAY #2795,7605 ROBERT CRAIN HIGHWAY SOUTHWEST,UPPER MARLBORO,MD,20772,Grocery Store - Large
WEIS MARKETS INC #280,5801 ROBERT CRAIN HIGHWAY SOUTHWEST,UPPER MARLBORO,MD,20772,Grocery Store - Large
LA ESPERANZA GROCERY #2,6203 OLD BRANCH AVENUE,TEMPLE HILLS,MD,20748,Grocery Store
FARMER'S MEAT SHOP,5500 LANDOVER ROAD,HYATTSVILLE,MD,20784,
