ObjectId,agency_ref,name,address1,address2,city,state,county_name,zip,phone,email,tefap,latitude,longitude,Date_of_Last_SO,Hours_Monday,ByAppointmentOnly_Monday,ResidentsOnly_Monday,Notes_Monday,Hours_Tuesday,ByAppointmentOnly_Tuesday,ResidentsOnly_Tuesday,Notes_Tuesday,Hours_Wednesday,ByAppointmentOnly_Wednesday,ResidentsOnly_Wednesday,Notes_Wednesday,Hours_Thursday,ByAppointmentOnly_Thursday,ResidentsOnly_Thursday,Notes_Thursday,Hours_Friday,ByAppointmentOnly_Friday,ResidentsOnly_Friday,Notes_Friday,Hours_Saturday,ByAppointmentOnly_Saturday,ResidentsOnly_Saturday,Notes_Saturday,Hours_Sunday,ByAppointmentOnly_Sunday,ResidentsOnly_Sunday,Notes_Sunday,TEFAP_Auto_Eligible,TEFAP_Income_Levels,county_clean
13,22017-PART-01,Loaves & Fishes,1525 Newton St NW,,Washington,DC,DC Ward 1,20910,(301) 351-8411,denize@loavesandfishesdc.org,Non-TEFAP,38.933487,-77.03575,2026-03-13 00:00:00,,,,,,,,,,,,,,,,,,,,,"8:30 AM to 11:30 AM; Every week
8:30 AM to 11:30 AM; Every week (Note: No verification required)",No,No,(Note: No verification required),8:30 AM to 11:30 AM; Every week (Note: No verification required),No,No,(Note: No verification required),,,Ward 1
14,19872-PART-01,Reid Temple AME Church,11400 Glenn Dale Blvd,,Glenn Dale,MD,MD Prince George's County,20769,(301) 352-0320,laurenajack24@gmail.com,Non-TEFAP,38.984438,-76.809171,2026-04-17 00:00:00,,,,,,,,,,,,,,,,,,,,,10:00 AM to 12:00 PM; 3rd of the Month,No,No,,,,,,,,Prince George's County
15,14215-PART-01,Metropolitan Baptist Church,1200 Mercantile Lane Suite 115B,,Largo,MD,MD Prince George's County,20774,(301) 352-2932,porterp8@gmail.com,Non-TEFAP,38.906858,-76.838853,2026-04-23 00:00:00,,,,,,,,,,,,,,,,,,,,,10:00 AM to 11:30 AM; 2nd and 4th of the Month (Note: The pantry is also available for emergencies),No,No,(Note: The pantry is also available for emergencies),"11:30 AM to As Needed; 3rd of the Month
11:30 AM to 12:00 PM; 3rd of the Month (Note: Following 10:15a.m. Church service)",No,No,(Note: Following 10:15a.m. Church service),,,Prince George's County
16,19076-PART-01,Greater New Hope Baptist Church,816 8th STREET NW,,Washington,DC,DC Ward 2,20001,(301) 357-4905,maryann007@earthlink.net,Non-TEFAP,38.900323,-77.023292,2026-03-09 00:00:00,,,,,"12:00 PM to 2:00 PM; 2nd of the Month
12:00 PM to 2:00 PM; 2nd of the Month",No,No,,,,,,,,,,,,,,,,,,,,,,,,Ward 2
17,14630-PART-01,Good Samaritan Ministry,1417 Chillum Rd,,Hyattsville,MD,MD Prince George's County,20782,(301) 363-1679,j.mbulu@clgministries.org,TEFAP Available,38.957084,-76.985255,2026-02-26 00:00:00,,,,,,,,,,,,,,,,,,,,,10:00 AM to 12:00 PM; 2nd and 4th of the Month,No,No,,,,,,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,Prince George's County
18,19382-PART-01,College Park Community Food Bank,3621 Campus Drive,,College Park,MD,MD Prince George's County,20740,(301) 364-4931,cpcommunityfoodbank@gmail.com,Non-TEFAP,38.9843395,-76.9515782,2026-04-17 00:00:00,,,,,,,,,,,,,,,,,,,,,9:30 AM to 11:00 AM; Every week,No,No,,,,,,,,Prince George's County
19,19775-PART-01,Bethesda Help,10100 Old Georgetown Road,,Bethesda,MD,MD Montgomery County,20814,(301) 365-2022,aeharvey1007@hotmail.com,Non-TEFAP,39.020953,-77.123176,2026-04-15 00:00:00,9:00 AM to 4:30 PM; Every week (Note: Clients must call to request food.  Drivers will deliver food within 48 hours),Yes,No,(Note: Clients must call to request food.  Drivers will deliver food within 48 hours),9:00 AM to 4:30 PM; Every week (Note: Clients must call to request food.  Drivers will delivery food within 48 hours),Yes,No,(Note: Clients must call to request food.  Drivers will delivery food within 48 hours),9:00 AM to 4:30 PM; Every week (Note: Clients must call to request food.  Drivers will deliver food within 48 hours),Yes,No,(Note: Clients must call to request food.  Drivers will deliver food within 48 hours),9:00 AM to 4:30 PM; Every week (Note: Clients must call to request food.  Drivers will deliver food within 48 hours),Yes,No,(Note: Clients must call to request food.  Drivers will deliver food within 48 hours),9:00 AM to 4:30 PM; Every week (Note: Clients must call to request food.  Drivers will deliver food within 48 hours),Yes,No,(Note: Clients must call to request food.  Drivers will deliver food within 48 hours),,,,,,,,,,,Montgomery County
20,19691-PART-01,Muslim Community Center,15200 New Hampshire Ave.,,Silver Spring,MD,MD Montgomery County,20905,(301) 388-6456,maricel.sinnokrot@mccmd.org,Non-TEFAP,39.105502,-77.003633,2026-04-21 00:00:00,,,,,,,,,,,,,,,,,,,,,8:30 AM to 11:00 AM; 2nd and 4th of the Month (Note: provisions are available for emergency cases. some family may need assistance during the week),No,No,(Note: provisions are available for emergency cases. some family may need assistance during the week),,,,,,,Montgomery County
21,19490-PART-01,Allen Chapel AME Church Outreach Ministry,2518 Fairland Road,,Silver Spring,MD,MD Montgomery County,20904,(301) 404-2688,dotboddie@yahoo.com,TEFAP Available,39.077768,-76.958171,2026-04-14 00:00:00,,,,,,,,,,,,,,,,,,,,,"8:00 AM to 10:00 AM; 2nd and 4th of the Month (Note: Montgomery & PG residents)
8:00 AM to 10:00 AM; 2nd and 4th of the Month (Note: Montgomery and Prince George County)",No,Yes,"(Note: Montgomery & PG residents)
 (Note: Montgomery and Prince George County)",,,,,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,Montgomery County
22,19801-PART-01,Operation Earnie's Plate,8500 Mike Shapiro Dr,,Clinton,MD,MD Prince George's County,20735,(301) 404-4461,earniesplate@gmail.com,Non-TEFAP,38.772313,-76.881874,2026-04-15 00:00:00,"10:30 AM to 2:00 PM; 2nd of the Month (Note: Pantry Location: Inside Clinton Manor Senior Citizens Center
Eligibility: Residents only)",No,No,"(Note: Pantry Location: Inside Clinton Manor Senior Citizens Center
Eligibility: Residents only)","10:00 AM to 3:00 PM; 3rd of the Month (Note: Pantry Location:Fort Washington Manor
Eligibility: Residents only)",No,No,"(Note: Pantry Location:Fort Washington Manor
Eligibility: Residents only)",,,,,,,,,,,,,,,,,,,,,,,Prince George's County
23,16505-PART-01,City of Praise Family Ministries,8806 Brightseat Road,,Landover,MD,MD Prince George's County,20785,(301) 404-8234,nancystaten@aol.com,TEFAP Available,38.9104042,-76.8564644,2026-04-14 00:00:00,,,,,,,,,,,,,4:30 PM to 6:00 PM; Every week,No,No,,,,,,,,,,,,,,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,Prince George's County
24,19832-PART-01,Turner AME Church,7201 16th Place,,Hyattsville,MD,MD Prince George's County,20783,(301) 408-0750,civy@turner-ame.org,Non-TEFAP,38.979161,-76.98084,2026-03-20 00:00:00,,,,,,,,,,,,,,,,,12:00 PM to 2:00 PM; Every Other Week (Note: No Requirements Needed.),No,No,(Note: No Requirements Needed.),,,,,,,,,,,Prince George's County
25,19873-PART-01,GAP Food Program,6715 Suitland Road,,Morningside,MD,MD Prince George's County,20746,(301) 420-1460,dawn@dawnmharvey.com,Non-TEFAP,38.824228,-76.891364,2026-03-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,10:30 AM to 1:00 PM; Every week,No,No,,,,Prince George's County
26,19721-PART-01,Second Baptist Church Southwest,5501 Silver Hill Road,,District Heights,MD,MD Prince George's County,20747,(301) 420-2929,gford87333@aol.com,Non-TEFAP,38.852007,-76.912275,2026-04-10 00:00:00,,,,,,,,,,,,,,,,,,,,,7:30 AM to 11:30 AM; 2nd of the Month,No,No,,,,,,,,Prince George's County
27,223501-MOMK-01,Beltway Church of Christ,6000 Davis Blvd,,Camp Springs,MD,MD Prince George's County,20746,(301) 423-2320,fullofjoymil@verizon.net,Non-TEFAP,38.8162296,-76.9038209,2026-04-09 00:00:00,,,,,,,,,,,,,1:00 PM to Until Food Runs Out; 2nd of the Month,No,No,,,,,,,,,,,,,,,,Prince George's County
28,19485-PART-01,Manna Food Center,9311 Gaither Rd,,Gaithersburg,MD,MD Montgomery County,20877,(301) 424-1130,edwin@mannafood.org,Non-TEFAP,39.118524,-77.1918,2026-04-15 00:00:00,10:00 AM to 12:00 PM; Every week (Note: Moco Residents Only. Call (301) 424-1130 to make an appointment. We need to receive your call by 12:00 pm the day before you would like to receive food. Visit https://www.mannafood.org/how-to-receive-food-from-manna/ to find other programs and locations.),No,No,(Note: Moco Residents Only. Call (301) 424-1130 to make an appointment. We need to receive your call by 12:00 pm the day before you would like to receive food. Visit https://www.mannafood.org/how-to-receive-food-from-manna/ to find other programs and locations.),"10:00 AM to 12:00 PM; Every week (Note: Moco Residents Only. Call (301) 424-1130 to make an appointment. We need to receive your call by 12:00 pm the day before you would like to receive food. Visit https://www.mannafood.org/how-to-receive-food-from-manna/ to find other programs and locations.)
2:00 PM to 5:00 PM; Every week (Note: Moco Residents Only. Call (301) 424-1130 to make an appointment. We need to receive your call by 12:00 pm the day before you would like to receive food. Visit https://www.mannafood.org/how-to-receive-food-from-manna/ to find other programs and locations.)",No,No,"(Note: Moco Residents Only. Call (301) 424-1130 to make an appointment. We need to receive your call by 12:00 pm the day before you would like to receive food. Visit https://www.mannafood.org/how-to-receive-food-from-manna/ to find other programs and locations.)
 (Note: Moco Residents Only. Call (301) 424-1130 to make an appointment. We need to receive your call by 12:00 pm the day before you would like to receive food. Visit https://www.mannafood.org/how-to-receive-food-from-manna/ to find other programs and locations.)",10:00 AM to 12:00 PM; Every week (Note: Moco Residents Only. Call (301) 424-1130 to make an appointment. We need to receive your call by 12:00 pm the day before you would like to receive food. Visit https://www.mannafood.org/how-to-receive-food-from-manna/ to find other programs and locations.),No,No,(Note: Moco Residents Only. Call (301) 424-1130 to make an appointment. We need to receive your call by 12:00 pm the day before you would like to receive food. Visit https://www.mannafood.org/how-to-receive-food-from-manna/ to find other programs and locations.),"10:00 AM to 12:00 PM; Every week (Note: Moco Residents Only. Call (301) 424-1130 to make an appointment. We need to receive your call by 12:00 pm the day before you would like to receive food. Visit https://www.mannafood.org/how-to-receive-food-from-manna/ to find other programs and locations.)
2:00 PM to 5:00 PM; Every week (Note: Moco Residents Only. Call (301) 424-1130 to make an appointment. We need to receive your call by 12:00 pm the day before you would like to receive food. Visit https://www.mannafood.org/how-to-receive-food-from-manna/ to find other programs and locations.)",No,No,"(Note: Moco Residents Only. Call (301) 424-1130 to make an appointment. We need to receive your call by 12:00 pm the day before you would like to receive food. Visit https://www.mannafood.org/how-to-receive-food-from-manna/ to find other programs and locations.)
 (Note: Moco Residents Only. Call (301) 424-1130 to make an appointment. We need to receive your call by 12:00 pm the day before you would like to receive food. Visit https://www.mannafood.org/how-to-receive-food-from-manna/ to find other programs and locations.)","10:00 AM to 12:00 PM; Every week (Note: Moco Residents Only. Call (301) 424-1130 to make an appointment. We need to receive your call by 12:00 pm the day before you would like to receive food. Visit https://www.mannafood.org/how-to-receive-food-from-manna/ to find other programs and locations.)
1:00 PM to 3:00 PM; Every week (Note: Moco Residents Only. Call (301) 424-1130 to make an appointment. We need to receive your call by 12:00 pm the day before you would like to receive food. Visit https://www.mannafood.org/how-to-receive-food-from-manna/ to find other programs and locations.)",No,No,"(Note: Moco Residents Only. Call (301) 424-1130 to make an appointment. We need to receive your call by 12:00 pm the day before you would like to receive food. Visit https://www.mannafood.org/how-to-receive-food-from-manna/ to find other programs and locations.)
 (Note: Moco Residents Only. Call (301) 424-1130 to make an appointment. We need to receive your call by 12:00 pm the day before you would like to receive food. Visit https://www.mannafood.org/how-to-receive-food-from-manna/ to find other programs and locations.)",9:00 AM to 12:00 PM; 1st of the Month (Note: Moco Residents Only. Call (301) 424-1130 to make an appointment. We need to receive your call by 12:00 pm the day before you would like to receive food. Visit https://www.mannafood.org/how-to-receive-food-from-manna/ to find other programs and locations.),No,No,(Note: Moco Residents Only. Call (301) 424-1130 to make an appointment. We need to receive your call by 12:00 pm the day before you would like to receive food. Visit https://www.mannafood.org/how-to-receive-food-from-manna/ to find other programs and locations.),,,,,,,Montgomery County
29,19868-PART-01,InterFaith Works,751 Twinbrook Pkwy,,Rockville,MD,MD Montgomery County,20852,(301) 424-3796,hubcoordinator@iworksmc.org,Non-TEFAP,39.082864,-77.114102,1970-01-01 00:00:46,,,,,9:00 AM to 3:00 PM; Every week (Note: https://www.iworksmc.org/assistance),Yes,No,(Note: https://www.iworksmc.org/assistance),9:00 AM to 3:00 PM; Every week (Note: https://www.iworksmc.org/assistance),Yes,No,(Note: https://www.iworksmc.org/assistance),9:00 AM to 3:00 PM; Every week (Note: https://www.iworksmc.org/assistance),Yes,No,(Note: https://www.iworksmc.org/assistance),9:00 AM to 3:00 PM; Every week (Note: https://www.iworksmc.org/assistance),Yes,No,(Note: https://www.iworksmc.org/assistance),9:00 AM to 12:00 PM; Every week (Note: https://www.iworksmc.org/assistance),Yes,No,(Note: https://www.iworksmc.org/assistance),,,,,,,Montgomery County
30,23030-PART-01,Living Faith Lutheran Church,1605 Veirs Mill Road,,Rockville,MD,MD Montgomery County,20851,(301) 424-8622,stevecorbin@verizon.net,Non-TEFAP,39.076604,-77.123174,2026-04-13 00:00:00,,,,,8:30 AM to Until Food Runs Out; Every Other Week,No,No,,,,,,,,,,,,,,,,,,,,,,,,Montgomery County
31,22697-PART-01,Mount Calvary Baptist Church,608 North Horners Lane,,Rockviille,MD,MD Montgomery County,20850,(301) 424-8717,carolyn.kennedy-piggott@mtcbc.org,Non-TEFAP,39.092965,-77.144119,2026-04-01 00:00:00,,,,,"1:00 PM to Until Food Runs Out; Every week (Note: This distribution is operated by Nourish Now, although held at Mt. Calvary Baptist Church.)",No,No,"(Note: This distribution is operated by Nourish Now, although held at Mt. Calvary Baptist Church.)",,,,,4:30 PM to Until Food Runs Out; 1st and 3rd of the Month (Note: Open 1st and 3rd Thursday of every month),No,No,(Note: Open 1st and 3rd Thursday of every month),,,,,,,,,,,,,,,Montgomery County
32,19869-PART-01,Everlasting Joy Foundation,5170 Lawrence Place,Unit E,Hyattsville,MD,MD Prince George's County,20781,(301) 433-3180,info@theeverlastingjoyfoundation.org,TEFAP Available,38.933217,-76.92641,1970-01-01 00:00:46,,,,,,,,,,,,,,,,,,,,,2:00 PM to Until Food Runs Out; Every week,No,No,,,,,,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,Prince George's County
33,19464-PART-01,Fountain of Restoration Church,12304 Livingston Rd,,Fort Washington,MD,MD Prince George's County,20744,(301) 433-5715,omonibeauty1@yahoo.com,Non-TEFAP,38.720585,-76.985211,2026-04-13 00:00:00,,,,,,,,,,,,,,,,,,,,,12:00 PM to 4:00 PM; Every Other Week (Note: Bring your own bags),No,No,(Note: Bring your own bags),,,,,,,Prince George's County
34,19588-PUSH-01,Clifton Park Baptist Church,8818 Piney Branch Road,,Silver Spring,MD,MD Montgomery County,20903,(301) 434-2456,outreach.cpbc@gmail.com,Non-TEFAP,39.000211,-76.994071,1970-01-01 00:00:46,,,,,,,,,,,,,10:00 AM to 12:00 PM; 3rd of the Month,No,No,,,,,,8:30 AM to 10:30 AM; 1st of the Month,No,No,,,,,,,,Montgomery County
35,16490-PART-01,St. Michael and All Angels,8501 New Hampshire Ave,,Adelphi,MD,MD Prince George's County,20783,(301) 434-4646,dg4720@yahoo.com,TEFAP Available,38.999469,-76.982445,1970-01-01 00:00:46,,,,,,,,,,,,,,,,,9:00 AM to 11:30 AM; 3rd of the Month (Note: Please note that distribution on the 3rd Friday of each month is by appointment only.),Yes,No,(Note: Please note that distribution on the 3rd Friday of each month is by appointment only.),"2:30 PM to 5:00 PM; 3rd of the Month (Note: We distribute groceries provided by CAFB (TEFAP and non-TEFAP items) on the third Saturday of each month. In addition, clients are served a hot meal which is sponsored separately by the church. Gently used clothing is also available.)",No,No,"(Note: We distribute groceries provided by CAFB (TEFAP and non-TEFAP items) on the third Saturday of each month. In addition, clients are served a hot meal which is sponsored separately by the church. Gently used clothing is also available.)",,,,,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,Prince George's County
36,19737-PART-01,Resurrection Bible Church,10835 Lanham-Severn Road,,Glenn Dale,MD,MD Prince George's County,20769,(301) 437-4958,jvillenc20783@yahoo.com,Non-TEFAP,38.985746,-76.821432,2026-04-14 00:00:00,,,,,,,,,,,,,,,,,,,,,"9:30 AM to 10:30 AM; 2nd of the Month (Note: Must wait in vehicle)
9:30 AM to 10:30 AM; 2nd of the Month (Note: Second Saturday of the month and must RSVP)",Yes,No,"(Note: Must wait in vehicle)
 (Note: Second Saturday of the month and must RSVP)",,,,,,,Prince George's County
37,19823-PART-01,Royalhouse Chapel International,7911 Braygreen Road,,Laurel,MD,MD Prince George's County,20707,(301) 437-9441,asaila@royalhousemd.org,Non-TEFAP,39.079134,-76.868556,2026-04-10 00:00:00,,,,,As Needed to As Needed; Every Other Week (Note: as needed also on Tuesday by appointment),Yes,No,(Note: as needed also on Tuesday by appointment),,,,,,,,,,,,,10:00 AM to 12:00 PM; Every Other Week (Note: Drive through),No,No,(Note: Drive through),,,,,,,Prince George's County
38,19415-PART-01,St. Camillus Catholic Church,1600 Saint Camillus Drive,,Silver Spring,MD,MD Montgomery County,20903,(301) 442-1151,jromanus74@gmail.com,TEFAP Available,39.009508,-76.981661,1970-01-01 00:00:46,,,,,,,,,,,,,,,,,4:00 PM to 6:00 PM; Every week (Note: Clients may visit the pantry once every 4 weeks.),No,No,(Note: Clients may visit the pantry once every 4 weeks.),10:00 AM to 12:00 PM; Every week (Note: Clients may visit the pantry once every 4 weeks.),No,No,(Note: Clients may visit the pantry once every 4 weeks.),,,,,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,Montgomery County
39,19458-PART-01,The Hope Center,4915 Wheeler Rd,,Oxon Hill,MD,MD Prince George's County,20745,(301) 448-8155,colwexecasst@gmail.com,Non-TEFAP,38.8217446,-76.9714118,2026-04-13 00:00:00,,,,,,,,,,,,,,,,,,,,,10:00 AM to 12:00 PM; 2nd and 4th of the Month (Note: Can call to make an appointment for emergencies),No,No,(Note: Can call to make an appointment for emergencies),,,,,,,Prince George's County
40,22458-PART-01,Destiny Driven,5900 Princess Garden Parkway,,Lanham,MD,MD Prince George's County,20706,(301) 455-5970,destinydriveninternationalceo@gmail.com,Non-TEFAP,38.961544,-76.864,2026-04-20 00:00:00,"11:00 AM to 2:00 PM; As Needed (Note: No pantry requirements)
11:00 AM to 3:00 PM; Every week (Note: No Pantry Requirements.)",No,No,"(Note: No pantry requirements)
 (Note: No Pantry Requirements.)","10:00 AM to 3:00 PM; Every week
11:00 AM to 2:00 PM; Every week (Note: No pantry requirements)",No,No,(Note: No pantry requirements),,,,,10:00 AM to 3:00 PM; Every week,No,No,,11:00 AM to 3:00 PM; Every week,No,No,,11:00 AM to 3:00 PM; Every week,No,No,,12:00 PM to 1:30 PM; Every week,No,No,,,,Prince George's County
41,14665-PART-01,Brighter Day Ministries Food Pantry,2525 12th Pl SE,,Washington,DC,DC Ward 8,20020,(301) 455-6384,mable.l.semple@hotmail.com,TEFAP Available,38.85155,-76.985323,2026-04-15 00:00:00,,,,,,,,,,,,,"11:00 AM to 3:00 PM; Every week
4:00 PM to 6:30 PM; Every week",No,No,,,,,,,,,,,,,,"SNAP, TANF, Medicaid",https://cafb.sharepoint.com/:i:/s/Analytics/EY6xpd78diJGux8egGA_3IsBS4NAJD5OqTZ_0LQyQJSUAg,Ward 8
42,19014-PART-01,"Sowing Empowerment & Economic Development, Inc.",6201 Riverdale Road,Suite 200,Riverdale,MD,MD Prince George's County,20737,(301) 458-9808,cweng@seedinc.org,Non-TEFAP,38.959287,-76.90621,2026-03-18 00:00:00,,,,,,,,,12:00 PM to 2:30 PM; Every week (Note: Bring bags),No,No,(Note: Bring bags),,,,,,,,,,,,,,,,,,,Prince George's County
