year,county,url,food_insecure_population,food_insecurity_rate,snap_above_threshold_pct,snap_below_threshold_pct,average_meal_cost,annual_food_budget_shortfall,scrape_error
2019,Wicomico,https://map.feedingamerica.org/county/2019/overall/maryland/county/wicomico,"13,940",13.6%,20%,80%,$3.00,"$7,148,000",
2019,Worcester,https://map.feedingamerica.org/county/2019/overall/maryland/county/worcester,"7,200",13.9%,37%,63%,$3.46,"$4,263,000",
2020,Allegany,https://map.feedingamerica.org/county/2020/overall/maryland/county/allegany,"11,040",15.6%,27%,73%,$3.26,"$5,796,000",
2020,Anne Arundel,https://map.feedingamerica.org/county/2020/overall/maryland/county/anne-arundel,"47,920",8.3%,52%,48%,$3.62,"$27,948,000",
2020,Baltimore County,https://map.feedingamerica.org/county/2020/overall/maryland/county/baltimore,"85,270",10.30%,38%,63%,$3.52,"$48,366,000",
2020,Baltimore City,https://map.feedingamerica.org/county/2020/overall/maryland/county/baltimore-city,"93,350",15.5%,22%,78%,$4.03,"$60,594,000",
2020,Calvert,https://map.feedingamerica.org/county/2020/overall/maryland/county/calvert,"6,590",7.2%,54%,46%,$4.09,"$4,344,000",
2020,Caroline,https://map.feedingamerica.org/county/2020/overall/maryland/county/caroline,"4,050",12.2%,13%,87%,$3.18,"$2,074,000",
2020,Carroll,https://map.feedingamerica.org/county/2020/overall/maryland/county/carroll,"14,310",8.5%,56%,45%,$3.63,"$8,374,000",
2020,Cecil,https://map.feedingamerica.org/county/2020/overall/maryland/county/cecil,"11,470",11.1%,34%,66%,$3.31,"$6,111,000",
2020,Charles,https://map.feedingamerica.org/county/2020/overall/maryland/county/charles,"11,570",7.2%,45%,55%,$3.39,"$6,324,000",
2020,Dorchester,https://map.feedingamerica.org/county/2020/overall/maryland/county/dorchester,"4,490",14.0%,18%,82%,$3.13,"$2,261,000",
2020,Frederick,https://map.feedingamerica.org/county/2020/overall/maryland/county/frederick,"22,780",8.9%,51%,49%,$3.57,"$13,095,000",
2020,Garrett,https://map.feedingamerica.org/county/2020/overall/maryland/county/garrett,"3,840",13.2%,18%,82%,$3.06,"$1,892,000",
2020,Harford,https://map.feedingamerica.org/county/2020/overall/maryland/county/harford,"22,480",8.9%,48%,52%,$3.72,"$13,457,000",
2020,Howard,https://map.feedingamerica.org/county/2020/overall/maryland/county/howard,"23,390",7.3%,54%,46%,$4.02,"$15,134,000",
2020,Kent,https://map.feedingamerica.org/county/2020/overall/maryland/county/kent,"2,340",12.0%,37%,63%,$4.05,"$1,525,000",
2020,Montgomery,https://map.feedingamerica.org/county/2020/overall/maryland/county/montgomery,"87,190",8.3%,41%,59%,$4.18,"$58,650,000",
2020,Prince George's,https://map.feedingamerica.org/county/2020/overall/maryland/county/prince-georges,"74,130",8.1%,31%,69%,$3.65,"$43,602,000",
2020,Queen Anne's,https://map.feedingamerica.org/county/2020/overall/maryland/county/queen-annes,"4,440",8.9%,52%,48%,$4.05,"$2,893,000",
2020,Somerset,https://map.feedingamerica.org/county/2020/overall/maryland/county/somerset,"3,810",14.8%,29%,71%,$3.29,"$2,016,000",
2020,St. Mary's,https://map.feedingamerica.org/county/2020/overall/maryland/county/st-marys,"10,830",9.6%,43%,57%,$3.52,"$6,144,000",
2020,Talbot,https://map.feedingamerica.org/county/2020/overall/maryland/county/talbot,"4,020",10.8%,41%,59%,$3.81,"$2,467,000",
2020,Washington,https://map.feedingamerica.org/county/2020/overall/maryland/county/washington,"19,850",13.2%,34%,66%,$3.19,"$10,209,000",
2020,Wicomico,https://map.feedingamerica.org/county/2020/overall/maryland/county/wicomico,"13,680",13.2%,18%,82%,$3.13,"$6,897,000",
2020,Worcester,https://map.feedingamerica.org/county/2020/overall/maryland/county/worcester,"7,130",13.7%,35%,65%,$3.56,"$4,092,000",
2021,Allegany,https://map.feedingamerica.org/county/2021/overall/maryland/county/allegany,"10,170",14.8%,23%,78%,$3.58,"$6,437,000",
2021,Anne Arundel,https://map.feedingamerica.org/county/2021/overall/maryland/county/anne-arundel,"47,260",8.1%,52%,48%,$4.06,"$33,895,000",
2021,Baltimore County,https://map.feedingamerica.org/county/2021/overall/maryland/county/baltimore,"81,700",9.60%,37%,63%,$3.91,"$56,496,000",
2021,Baltimore City,https://map.feedingamerica.org/county/2021/overall/maryland/county/baltimore-city,"82,780",14.0%,26%,75%,$4.43,"$64,796,000",
2021,Calvert,https://map.feedingamerica.org/county/2021/overall/maryland/county/calvert,"6,630",7.2%,57%,43%,$4.18,"$4,896,000",
2021,Caroline,https://map.feedingamerica.org/county/2021/overall/maryland/county/caroline,"3,830",11.5%,6%,94%,$3.39,"$2,292,000",
2021,Carroll,https://map.feedingamerica.org/county/2021/overall/maryland/county/carroll,"15,110",8.8%,56%,44%,$3.96,"$10,575,000",
2021,Cecil,https://map.feedingamerica.org/county/2021/overall/maryland/county/cecil,"11,370",11.0%,29%,71%,$3.60,"$7,236,000",
2021,Charles,https://map.feedingamerica.org/county/2021/overall/maryland/county/charles,"10,120",6.1%,44%,56%,$3.84,"$6,865,000",
2021,Dorchester,https://map.feedingamerica.org/county/2021/overall/maryland/county/dorchester,"4,090",12.6%,18%,83%,$3.37,"$2,439,000",
2021,Frederick,https://map.feedingamerica.org/county/2021/overall/maryland/county/frederick,"23,650",8.8%,51%,49%,$4.01,"$16,749,000",
2021,Garrett,https://map.feedingamerica.org/county/2021/overall/maryland/county/garrett,"3,600",12.4%,6%,94%,$3.31,"$2,103,000",
2021,Harford,https://map.feedingamerica.org/county/2021/overall/maryland/county/harford,"22,370",8.6%,47%,53%,$4.01,"$15,864,000",
2021,Howard,https://map.feedingamerica.org/county/2021/overall/maryland/county/howard,"24,650",7.5%,55%,45%,$4.36,"$18,968,000",
2021,Kent,https://map.feedingamerica.org/county/2021/overall/maryland/county/kent,"2,330",12.0%,34%,66%,$4.25,"$1,748,000",
2021,Montgomery,https://map.feedingamerica.org/county/2021/overall/maryland/county/montgomery,"93,590",8.9%,45%,55%,$4.52,"$74,776,000",
2021,Prince George's,https://map.feedingamerica.org/county/2021/overall/maryland/county/prince-georges,"70,930",7.4%,38%,63%,$4.06,"$50,910,000",
2021,Queen Anne's,https://map.feedingamerica.org/county/2021/overall/maryland/county/queen-annes,"4,490",9.0%,52%,48%,$4.25,"$3,369,000",
2021,Somerset,https://map.feedingamerica.org/county/2021/overall/maryland/county/somerset,"3,430",13.8%,32%,68%,$3.48,"$2,109,000",
2021,St. Mary's,https://map.feedingamerica.org/county/2021/overall/maryland/county/st-marys,"10,670",9.4%,44%,57%,$3.86,"$7,281,000",
2021,Talbot,https://map.feedingamerica.org/county/2021/overall/maryland/county/talbot,"4,020",10.7%,39%,61%,$4.26,"$3,025,000",
2021,Washington,https://map.feedingamerica.org/county/2021/overall/maryland/county/washington,"20,070",13.0%,32%,68%,$3.70,"$13,120,000",
2021,Wicomico,https://map.feedingamerica.org/county/2021/overall/maryland/county/wicomico,"12,470",12.1%,20%,80%,$3.54,"$7,808,000",
2021,Worcester,https://map.feedingamerica.org/county/2021/overall/maryland/county/worcester,"6,480",12.4%,33%,67%,$3.78,"$4,332,000",
2022,Allegany,https://map.feedingamerica.org/county/2022/overall/maryland/county/allegany,"11,760",17.3%,22%,78%,$4.00,"$8,834,000",
2022,Anne Arundel,https://map.feedingamerica.org/county/2022/overall/maryland/county/anne-arundel,"61,640",10.5%,57%,43%,$4.45,"$51,598,000",
2022,Baltimore County,https://map.feedingamerica.org/county/2022/overall/maryland/county/baltimore,"102,630",12.10%,41%,59%,$4.29,"$82,758,000",
2022,Baltimore City,https://map.feedingamerica.org/county/2022/overall/maryland/county/baltimore-city,"90,750",15.5%,29%,71%,$4.86,"$82,969,000",
2022,Calvert,https://map.feedingamerica.org/county/2022/overall/maryland/county/calvert,"8,890",9.5%,62%,38%,$4.62,"$7,728,000",
2022,Caroline,https://map.feedingamerica.org/county/2022/overall/maryland/county/caroline,"4,820",14.5%,12%,88%,$3.79,"$3,437,000",
2022,Carroll,https://map.feedingamerica.org/county/2022/overall/maryland/county/carroll,"19,730",11.4%,61%,39%,$4.36,"$16,178,000",
2022,Cecil,https://map.feedingamerica.org/county/2022/overall/maryland/county/cecil,"14,180",13.7%,32%,68%,$4.03,"$10,738,000",
2022,Charles,https://map.feedingamerica.org/county/2022/overall/maryland/county/charles,"13,180",7.9%,53%,47%,$4.21,"$10,443,000",
2022,Dorchester,https://map.feedingamerica.org/county/2022/overall/maryland/county/dorchester,"4,990",15.3%,19%,81%,$3.81,"$3,573,000",
2022,Frederick,https://map.feedingamerica.org/county/2022/overall/maryland/county/frederick,"30,360",11.1%,58%,42%,$4.36,"$24,915,000",
2022,Garrett,https://map.feedingamerica.org/county/2022/overall/maryland/county/garrett,"4,480",15.5%,23%,77%,$3.77,"$3,175,000",
2022,Harford,https://map.feedingamerica.org/county/2022/overall/maryland/county/harford,"29,210",11.2%,52%,48%,$4.41,"$24,207,000",
2022,Howard,https://map.feedingamerica.org/county/2022/overall/maryland/county/howard,"32,130",9.7%,60%,40%,$4.78,"$28,900,000",
2022,Kent,https://map.feedingamerica.org/county/2022/overall/maryland/county/kent,"2,660",13.8%,34%,66%,$4.67,"$2,334,000",
2022,Montgomery,https://map.feedingamerica.org/county/2022/overall/maryland/county/montgomery,"116,990",11.1%,49%,51%,$5.00,"$109,984,000",
2022,Prince George's,https://map.feedingamerica.org/county/2022/overall/maryland/county/prince-georges,"88,810",9.3%,44%,56%,$4.49,"$75,037,000",
2022,Queen Anne's,https://map.feedingamerica.org/county/2022/overall/maryland/county/queen-annes,"5,780",11.5%,58%,42%,$4.67,"$5,071,000",
2022,Somerset,https://map.feedingamerica.org/county/2022/overall/maryland/county/somerset,"3,970",16.1%,35%,65%,$3.82,"$2,855,000",
2022,St. Mary's,https://map.feedingamerica.org/county/2022/overall/maryland/county/st-marys,"13,410",11.8%,50%,50%,$4.28,"$10,792,000",
2022,Talbot,https://map.feedingamerica.org/county/2022/overall/maryland/county/talbot,"5,230",13.9%,41%,60%,$4.65,"$4,575,000",
2022,Washington,https://map.feedingamerica.org/county/2022/overall/maryland/county/washington,"23,320",15.1%,32%,68%,$4.08,"$17,898,000",
2022,Wicomico,https://map.feedingamerica.org/county/2022/overall/maryland/county/wicomico,"14,400",13.9%,23%,77%,$3.91,"$10,583,000",
2022,Worcester,https://map.feedingamerica.org/county/2022/overall/maryland/county/worcester,"7,350",13.9%,36%,64%,$4.21,"$5,815,000",
2023,Allegany,https://map.feedingamerica.org/county/2023/overall/maryland/county/allegany,"12,590",18.6%,24%,76%,$3.55,"$8,467,000",
2023,Anne Arundel,https://map.feedingamerica.org/county/2023/overall/maryland/county/anne-arundel,"66,310",11.2%,60%,40%,$3.89,"$48,924,000",
2023,Baltimore County,https://map.feedingamerica.org/county/2023/overall/maryland/county/baltimore,"113,210",13.30%,44%,56%,$3.80,"$81,517,000",
2023,Baltimore City,https://map.feedingamerica.org/county/2023/overall/maryland/county/baltimore-city,"106,180",18.4%,29%,72%,$4.28,"$86,165,000",
2023,Calvert,https://map.feedingamerica.org/county/2023/overall/maryland/county/calvert,"9,320",9.9%,63%,37%,$4.18,"$7,382,000",
2023,Caroline,https://map.feedingamerica.org/county/2023/overall/maryland/county/caroline,"5,090",15.2%,16%,84%,$3.41,"$3,289,000",
2023,Carroll,https://map.feedingamerica.org/county/2023/overall/maryland/county/carroll,"20,120",11.5%,64%,36%,$3.92,"$14,949,000",
2023,Cecil,https://map.feedingamerica.org/county/2023/overall/maryland/county/cecil,"14,960",14.3%,38%,62%,$3.60,"$10,215,000",
2023,Charles,https://map.feedingamerica.org/county/2023/overall/maryland/county/charles,"16,840",10.0%,56%,44%,$3.71,"$11,847,000",
2023,Dorchester,https://map.feedingamerica.org/county/2023/overall/maryland/county/dorchester,"5,490",16.8%,26%,75%,$3.41,"$3,549,000",
2023,Frederick,https://map.feedingamerica.org/county/2023/overall/maryland/county/frederick,"32,380",11.6%,60%,40%,$3.90,"$23,907,000",
2023,Garrett,https://map.feedingamerica.org/county/2023/overall/maryland/county/garrett,"4,510",15.7%,31%,69%,$3.49,"$2,983,000",
2023,Harford,https://map.feedingamerica.org/county/2023/overall/maryland/county/harford,"30,880",11.8%,55%,45%,$3.90,"$22,815,000",
2023,Howard,https://map.feedingamerica.org/county/2023/overall/maryland/county/howard,"35,190",10.5%,64%,36%,$4.27,"$28,493,000",
2023,Kent,https://map.feedingamerica.org/county/2023/overall/maryland/county/kent,"2,810",14.6%,34%,66%,$4.12,"$2,196,000",
2023,Montgomery,https://map.feedingamerica.org/county/2023/overall/maryland/county/montgomery,"128,140",12.1%,52%,48%,$4.45,"$108,147,000",
2023,Prince George's,https://map.feedingamerica.org/county/2023/overall/maryland/county/prince-georges,"115,720",12.1%,45%,55%,$3.95,"$86,607,000",
2023,Queen Anne's,https://map.feedingamerica.org/county/2023/overall/maryland/county/queen-annes,"6,080",11.9%,60%,40%,$4.12,"$4,750,000",
2023,Somerset,https://map.feedingamerica.org/county/2023/overall/maryland/county/somerset,"4,400",17.8%,36%,64%,$3.37,"$2,807,000",
2023,St. Mary's,https://map.feedingamerica.org/county/2023/overall/maryland/county/st-marys,"14,310",12.5%,53%,47%,$3.78,"$10,242,000",
2023,Talbot,https://map.feedingamerica.org/county/2023/overall/maryland/county/talbot,"5,570",14.8%,41%,59%,$4.16,"$4,388,000",
2023,Washington,https://map.feedingamerica.org/county/2023/overall/maryland/county/washington,"24,540",15.8%,35%,65%,$3.56,"$16,577,000",
2023,Wicomico,https://map.feedingamerica.org/county/2023/overall/maryland/county/wicomico,"15,770",15.2%,28%,72%,$3.43,"$10,251,000",
2023,Worcester,https://map.feedingamerica.org/county/2023/overall/maryland/county/worcester,"7,640",14.3%,40%,60%,$3.78,"$5,470,000",
