name,address,city,state,zip,category
Megamart,5801 Riverdale Road,Riverdale,MD,20737,Grocery Store (Medium)
La Grande Supermarket,5821 Riverdale Road,Riverdale,MD,20737,Grocery Store
New Grand Mart,8401 Annapolis Road,Hyattsville,MD,20784,Grocery Store (Medium)
Mercadito Cruz,5611 Ager Road,Hyattsville,MD,20782,Grocery Store
Aldi Inc #06,3025 Hamilton Street,Hyattsville,MD,20782,Grocery Store (Medium)
Target Store T-1004,4600 Mitchellville Road,Bowie,MD,20716,Grocery Store (Medium)
Bestway Supermarket,3511 Hamilton Street,Hyattsville,MD,20782,Grocery Store (Medium)
Afrik International Food Market,6690 Old Landover Road,Hyattsville,MD,20785,Grocery Store
Afrik Farmers Market,6689 Old Landover Road,Hyattsville,MD,20785,Grocery Store
Cameron'S Seafood Restaurant,8807 Central Avenue,Capitol Heights,MD,20743,Seafood
La Bendicion Market,4905 Suitland Road,Suitland,MD,20746,Grocery Store
Camerons Seafood Market #8,3919 Branch Avenue,Temple Hills,MD,20748,Seafood
Aldi Inc #38,7500 Albert Road,Brandywine,MD,20613,Grocery Store (Medium)
Shoppers Food #52032 (2350),5820 Silver Hill Road,District Heights,MD,20747,Grocery Store (Large)
Price Rite Of District Heights #4837,5800 Silver Hill Road,District Heights,MD,20747,Grocery Store (Medium)
Aldi Inc # 25,6301 Marlboro Pike,District Heights,MD,20747,Grocery Store (Medium)
Shoppers Food #52069 (2377),2950 Donnell Drive,District Heights,MD,20747,Grocery Store (Large)
Target Store T-1897,3101 Donnell Drive,District Heights,MD,20747,Grocery Store (Medium)
Shoppers Food #52053 (2369),6111 Livingston Road,Oxon Hill,MD,20745,Grocery Store (Large)
Cameron'S Seafood Market,6171 Oxon Hill Road,Oxon Hill,MD,20745,Seafood
Aldi' Inc #36,6400 Allentown Road,Temple Hills,MD,20748,Grocery Store (Medium)
La Esperanza Grocery,7500 Allentown Road,Fort Washington,MD,20744,Grocery Store
M&M Beverages Corp,7601 Old Branch Avenue,Clinton,MD,20735,Grocery Store
Shoppers Food #52023 (2342),6300 Coventry Way,Clinton,MD,20735,Grocery Store (Large)
Aldi #175,8827 Woodyard Road,Clinton,MD,20735,Grocery Store (Medium)
B K Miller Super Liquors,9024 Old Branch Avenue,Clinton,MD,20735,Grocery Store
Giant Food Store #340,1009 Fairlawn Avenue,Laurel,MD,20707,Grocery Store (Large)
Aldi #52,14100 Baltimore Avenue,Laurel,MD,20707,Grocery Store (Medium)
Lady International Food - Grocery Store,318 Second Street,Laurel,MD,20707,Grocery Store
Safeway #107,7595 Greenbelt Road,Greenbelt,MD,20770,Grocery Store (Large)
La Colonia Super Market,4901 Allentown Road,Suitland,MD,20746,Grocery Store
Super Store International Market,202 Fort Meade Road,Laurel,MD,20707,Grocery Store
Weis Markets Inc #276,15789 Livingston Road,Accokeek,MD,20607,Grocery Store (Large)
Giant Food Store #338,7025 Berry Road,Accokeek,MD,20607,Grocery Store (Large)
Mega Mart Supermarket,111 Bowie Road,Laurel,MD,20707,Grocery Store (Medium)
Jumbo Food International,3201 Brinkley Road,Temple Hills,MD,20748,Grocery Store (Medium)
International Food Market Of Beltsville,11118 Baltimore Avenue,Beltsville,MD,20705,Grocery Store
Food Lion #2566,12675 Laurel Bowie Road,Laurel,MD,20708,Grocery Store (Large)
Giant Food Store #373,5500 Silver Hill Road,District Heights,MD,20747,Grocery Store (Large)
Food Lion #1662,410 Sandy Spring Road,Laurel,MD,20707,Grocery Store (Large)
Divine Unity Foods,14265 Baltimore Avenue,Laurel,MD,20707,Grocery Store
Star Halal Meat,4936 Edgewood Road,College Park,MD,20740,Meat/Poultry Market
Bestway Supermarket,9145 Riggs Road,Hyattsville,MD,20783,Grocery Store (Medium)
El Cordobes,9933 Rhode Island Avenue,College Park,MD,20740,Grocery Store
Mercadito Ramos,8000 New Hampshire Avenue,Hyattsville,MD,20783,Grocery Store
Lidl,8601 Baltimore Avenue,College Park,MD,20740,Grocery Store (Medium)
Silver Spring Market,1525 University Boulevard,Hyattsville,MD,20783,Grocery Store
Sunu Halal,2063 University Boulevard,Hyattsville,MD,20783,Meat/Poultry Market
Target Store T3211,4500 College Avenue,College Park,MD,20740,Grocery Store (Medium)
Mi Pueblito Mercado Latino,5604 Kenilworth Avenue,Riverdale,MD,20737,Grocery Store
Savemart,5550 Kenilworth Avenue,Riverdale,MD,20737,Grocery Store (Medium)
Bonivia International Foods,3020 Hamilton Street,Hyattsville,MD,20782,Grocery Store
Ceci'S Tienda Latina,6216 Rhode Island Avenue,Riverdale,MD,20737,Grocery Store
Shoppers Food #52018 (2339),7790 Riverdale Road,Hyattsville,MD,20784,Grocery Store (Large)
Foodway Supermarket,8484 Annapolis Road,Hyattsville,MD,20784,Grocery Store (Medium)
Krootown Road International Food Market,9035 Lanham Severn Road,Lanham,MD,20706,Grocery Store
Safeway #2713,12410 Fairwood Parkway,Bowie,MD,20720,Grocery Store (Large)
Noura Halal Meat Market,7441 Annapolis Road,Hyattsville,MD,20784,Meat/Poultry Market
Price Rite Supermarkets,3104 Queens Chapel Road,Hyattsville,MD,20782,Grocery Store (Medium)
The Store,3811 Hamilton Street,Hyattsville,MD,20781,Grocery Store
Megamart Supermarket,2441 Chillum Road,Hyattsville,MD,20782,Grocery Store (Medium)
Eco Food Store,7449 Annapolis Road,Hyattsville,MD,20784,Grocery Store
Admas Market,7453 Annapolis Road,Hyattsville,MD,20784,Grocery Store
El Primo Grocery,5022 Edmonston Road,Hyattsville,MD,20781,Grocery Store
Mi Ranchito Grocery Store,7454 Annapolis Road,Hyattsville,MD,20784,Grocery Store
Shoppers Food #52076 (2383),10501 Martin Luther King Junior Highway,Bowie,MD,20720,Grocery Store (Large)
Target Store T-2007,10401 Martin Luther King Junior Highway,Bowie,MD,20720,Grocery Store (Medium)
Crab Galley Of Bowie,7410 Laurel Bowie Road,Bowie,MD,20715,Seafood
La Frontera Market And Deli,6303 New Hampshire Avenue,Hyattsville,MD,20783,Grocery Store
Denniss Express,6315 New Hampshire Avenue,Hyattsville,MD,20783,Grocery Store
Mi Pais Latin American Market,6573 Ager Road,Hyattsville,MD,20782,Grocery Store
J&J International Food Store,9456 Lanham Severn Road,Lanham,MD,20706,Grocery Store
Save A Lot #545,5615 Sargent Road,Hyattsville,MD,20782,Grocery Store (Medium)
Aldi Inc # 37,6810 Race Track Road,Bowie,MD,20715,Grocery Store (Medium)
Mom'S Organic Market,6824 Race Track Road,Bowie,MD,20715,Grocery Store (Medium)
El Ranchito,9350 Lanham Severn Road,Lanham,MD,20706,Grocery Store
Lidl Us,13401 Annapolis Road,Bowie,MD,20720,Grocery Store (Medium)
Giant Food Store #140,5815 Eastern Avenue,Hyattsville,MD,20782,Grocery Store (Large)
Naana International Foods,6339 New Hampshire Avenue,Hyattsville,MD,20783,Grocery Store (Medium)
Shoppers Food #52019 (2340),6881 New Hampshire Avenue,Takoma Park,MD,20912,Grocery Store (Large)
Kirkwood Market,2721 Nicholson Street,Hyattsville,MD,20782,Grocery Store
Compare Food,3831 Bladensburg Road,Brentwood,MD,20722,Grocery Store
Glut Food Co-Op,4005 34Th Street,Mount Rainier,MD,20712,Grocery Store
Medi Market And Kitchen,3233 Rhode Island Avenue,Mount Rainier,MD,20712,Grocery Store
Manila Mart,5023 Garrett Avenue,Beltsville,MD,20705,Grocery Store
Habesha International Market,2311 Varnum Street,Mount Rainier,MD,20712,Grocery Store
Bb Latino Supermarket,4321 Kenilworth Avenue,Bladensburg,MD,20710,Grocery Store
El Palenque Mini Grocery,3408 Rhode Island Avenue,Mount Rainier,MD,20712,Grocery Store
Denco Foods Inc,8413 Ardwick Ardmore Road,Hyattsville,MD,20785,Grocery Store
Tropicana Store,3505 Maryland Avenue,Hyattsville,MD,20785,Grocery Store
Big Market International,5459 Annapolis Road,Bladensburg,MD,20710,Grocery Store
Wegmans,9001 Mchugh Drive,Lanham,MD,20706,Grocery Store (Large)
Metro Supermarket,7734 Landover Road,Hyattsville,MD,20785,Grocery Store (Medium)
Aldi 41,6524 Landover Road,Hyattsville,MD,20785,Grocery Store (Medium)
Prime International Foods,8571 Landover Road,Hyattsville,MD,20785,Meat/Poultry Market
Shoppers Food #52034 (2352),7051 Martin Luther King Junior Highway,Hyattsville,MD,20785,Grocery Store (Large)
Giant Food Store #107,11701 Beltsville Drive,Beltsville,MD,20705,Grocery Store (Medium)
Save A Lot #8045,5933 Martin Luther King Junior Highway,Capitol Heights,MD,20743,Grocery Store (Medium)
Giant Food Store #347,10480 Campus Way South,Upper Marlboro,MD,20774,Grocery Store (Large)
Target Store #T1006,10500 Campus Way South,Upper Marlboro,MD,20774,Grocery Store (Medium)
Maryland'S Fresh Seafood,62 Watkins Park Drive,Upper Marlboro,MD,20774,Seafood
Sophia Market,5000 Edgewood Road,College Park,MD,20740,Grocery Store
Mi Barrio Latin Market,10504 Baltimore Avenue,Beltsville,MD,20705,Grocery Store
M & M International Market,5244 Marlboro Pike,Capitol Heights,MD,20743,Grocery Store
Save-A-Lot #533,7782 Marlboro Pike,District Heights,MD,20747,Grocery Store (Medium)
Lidl,7200 Marlboro Pike,District Heights,MD,20747,Grocery Store (Medium)
Crab Line,7607 Marlboro Pike,District Heights,MD,20747,Seafood
Aldi #45,10912 Baltimore Avenue,Beltsville,MD,20705,Grocery Store (Medium)
Tienda Karina Spanish Market,5681 Suitland Road,Suitland,MD,20746,Grocery Store
Tiger Market,823 Southern Avenue,Oxon Hill,MD,20745,Grocery Store (Medium)
Giant Food Store #342,4119 Branch Avenue,Temple Hills,MD,20748,Grocery Store (Large)
Save-A-Lot,2346 Iverson Street,Temple Hills,MD,20748,Grocery Store (Medium)
Wal-Mart Store #2799,8755 Branch Avenue,Clinton,MD,20735,Grocery Store
Country Seafood,16705 Brandywine Road,Brandywine,MD,20613,Seafood
Harris Teeter 324,15501 Annapolis Road,Bowie,MD,20715,Grocery Store (Large)
Winner'S International Food' Inc,6511 Annapolis Road,Hyattsville,MD,20784,Grocery Store
Capital Halal Market,6509 Annapolis Road,Hyattsville,MD,20784,Meat/Poultry Market
Giant Food Store #341,20 Audrey Lane,Oxon Hill,MD,20745,Grocery Store (Large)
Moes Crabs,710 Accokeek Road,Accokeek,MD,20607,Seafood
Captain Peter'S Seafood & Crab,6589 Coventry Way,Clinton,MD,20735,Seafood
Seaside Seafood,9816 Piscataway Road,Clinton,MD,20735,Seafood
Target T-3339,6163 Oxon Hill Road,Oxon Hill,MD,20745,Grocery Store (Medium)
Safeway #1882,990 East Swan Creek Road,Fort Washington,MD,20744,Grocery Store (Large)
Giant Food Store #123,7074 Allentown Road,Temple Hills,MD,20748,Grocery Store (Large)
Safeway #1443,8785 Branch Avenue,Clinton,MD,20735,Grocery Store (Large)
Filipino Global Market,6365 Livingston Road,Oxon Hill,MD,20745,Grocery Store
Save A Lot #547-5807,6309 Livingston Road,Oxon Hill,MD,20745,Grocery Store (Medium)
Aldi Inc #19,6301 Livingston Road,Oxon Hill,MD,20745,Grocery Store (Medium)
Safeway #4872,6235 Oxon Hill Road,Oxon Hill,MD,20745,Grocery Store (Large)
Tropical Food Inc,603 Seventh Street,Laurel,MD,20707,Grocery Store
Big Bazaar,14703 Baltimore Avenue Unit A,Laurel,MD,20707,Grocery Store (Medium)
Think Fresh Market And Smoothie Bar,9430 Annapolis Road,Lanham,MD,20706,Grocery Store
Three Brothers Market,4521 Kenilworth Avenue,Bladensburg,MD,20710,Grocery Store
Target Store T-1295,6100 Greenbelt Road,Greenbelt,MD,20770,Grocery Store (Medium)
Harris Teeter #408,14702 Baltimore Avenue,Laurel,MD,20707,Grocery Store (Large)
Yes! Organic Market,5331 Baltimore Avenue,Hyattsville,MD,20781,Grocery Store
Shoppers Food #52050 (2366),4720 Cherry Hill Road,College Park,MD,20740,Grocery Store (Large)
Wal-Mart Store #5129,6210 Annapolis Road,Hyattsville,MD,20784,Grocery Store
Whole Foods Market,6621 Baltimore Avenue,Riverdale,MD,20737,Grocery Store (Large)
Giant Food #310,15520 Annapolis Road,Bowie,MD,20715,Grocery Store (Large)
Shoppers Food #52072 (2379),13600 Baltimore Avenue,Laurel,MD,20707,Grocery Store (Large)
New Grand Mart,1535 University Boulevard,Hyattsville,MD,20783,Grocery Store (Medium)
Iroko Foods,11000 Baltimore Avenue,Beltsville,MD,20705,Grocery Store
Super Best International Market,13600 Laurel Bowie Road,Laurel,MD,20708,Grocery Store
Al-Madina Halal Meat & Grocery,15101 Baltimore Avenue,Laurel,MD,20707,Grocery Store
Diana'S Grocery & Party,15101 Baltimore Avenue,Laurel,MD,20707,Grocery Store
Safeway #3274,3702 East West Highway,Hyattsville,MD,20782,Grocery Store (Large)
La Muterita Variedades,1401 University Boulevard,Hyattsville,MD,20783,Grocery Store
Bismillah Halal Meat Market,1401 University Boulevard,Hyattsville,MD,20783,Grocery Store (Medium)
Giant Food Store #316,6000 Greenbelt Road,Greenbelt,MD,20770,Grocery Store (Large)
Laurel Dutch Market - Beiler'S Meats,9701 Fort Meade Road,Laurel,MD,20707,Meat/Poultry Market
Laurel Dutch Market - Yoders Poultry,9701 Fort Meade Road,Laurel,MD,20707,Meat/Poultry Market
Target T-2394,15922 Robert Crain Highway Southeast,Brandywine,MD,20613,Grocery Store (Medium)
Giant Food Store #330,3500 Robert Crain Highway Northwest,Bowie,MD,20716,Grocery Store (Large)
Wal-Mart Store #1893,3300 Robert Crain Highway Northwest,Bowie,MD,20716,Grocery Store
Safeway #2853,15916 Robert Crain Highway Southeast,Brandywine,MD,20613,Grocery Store (Large)
Giant Food Store #361,5700 Robert Crain Highway Southeast,Upper Marlboro,MD,20772,Grocery Store (Large)
Food Lion #1414,9500 Robert Crain Highway Southeast,Upper Marlboro,MD,20772,Grocery Store (Large)
Target Store T-1890,3500 East West Highway,Hyattsville,MD,20782,Grocery Store (Medium)
Dutch Village Market - Ck Meats,5030 Brown Station Road,Upper Marlboro,MD,20772,Meat/Poultry Market
Dutch Village Farmers Market Stoltzfus Poultry,5030 Brown Station Road,Upper Marlboro,MD,20772,Meat/Poultry Market
Safeway #2795,7605 Robert Crain Highway Southwest,Upper Marlboro,MD,20772,Grocery Store (Large)
Weis Markets Inc #280,5801 Robert Crain Highway Southwest,Upper Marlboro,MD,20772,Grocery Store (Large)
La Esperanza Grocery #2,6203 Old Branch Avenue,Temple Hills,MD,20748,Grocery Store
Farmer'S Meat Shop,5500 Landover Road,Hyattsville,MD,20784,
