year,county,url,food_insecure_population,food_insecurity_rate,snap_above_threshold_pct,snap_below_threshold_pct,average_meal_cost,annual_food_budget_shortfall,scrape_error
2021,Cecil,https://map.feedingamerica.org/county/2021/overall/maryland/county/cecil,11370,11.0,29.0,71.0,3.6,7236000.0,
2021,Charles,https://map.feedingamerica.org/county/2021/overall/maryland/county/charles,10120,6.1,44.0,56.0,3.84,6865000.0,
2021,Dorchester,https://map.feedingamerica.org/county/2021/overall/maryland/county/dorchester,4090,12.6,18.0,83.0,3.37,2439000.0,
2021,Frederick,https://map.feedingamerica.org/county/2021/overall/maryland/county/frederick,23650,8.8,51.0,49.0,4.01,16749000.0,
2021,Garrett,https://map.feedingamerica.org/county/2021/overall/maryland/county/garrett,3600,12.4,6.0,94.0,3.31,2103000.0,
2021,Harford,https://map.feedingamerica.org/county/2021/overall/maryland/county/harford,22370,8.6,47.0,53.0,4.01,15864000.0,
2021,Howard,https://map.feedingamerica.org/county/2021/overall/maryland/county/howard,24650,7.5,55.0,45.0,4.36,18968000.0,
2021,Kent,https://map.feedingamerica.org/county/2021/overall/maryland/county/kent,2330,12.0,34.0,66.0,4.25,1748000.0,
2021,Montgomery,https://map.feedingamerica.org/county/2021/overall/maryland/county/montgomery,93590,8.9,45.0,55.0,4.52,74776000.0,
2021,Prince George's,https://map.feedingamerica.org/county/2021/overall/maryland/county/prince-georges,70930,7.4,38.0,63.0,4.06,50910000.0,
2021,Queen Anne's,https://map.feedingamerica.org/county/2021/overall/maryland/county/queen-annes,4490,9.0,52.0,48.0,4.25,3369000.0,
2021,Somerset,https://map.feedingamerica.org/county/2021/overall/maryland/county/somerset,3430,13.8,32.0,68.0,3.48,2109000.0,
2021,St. Mary's,https://map.feedingamerica.org/county/2021/overall/maryland/county/st-marys,10670,9.4,44.0,57.0,3.86,7281000.0,
2021,Talbot,https://map.feedingamerica.org/county/2021/overall/maryland/county/talbot,4020,10.7,39.0,61.0,4.26,3025000.0,
2021,Washington,https://map.feedingamerica.org/county/2021/overall/maryland/county/washington,20070,13.0,32.0,68.0,3.7,13120000.0,
2021,Wicomico,https://map.feedingamerica.org/county/2021/overall/maryland/county/wicomico,12470,12.1,20.0,80.0,3.54,7808000.0,
2021,Worcester,https://map.feedingamerica.org/county/2021/overall/maryland/county/worcester,6480,12.4,33.0,67.0,3.78,4332000.0,
2022,Allegany,https://map.feedingamerica.org/county/2022/overall/maryland/county/allegany,11760,17.3,22.0,78.0,4.0,8834000.0,
2022,Anne Arundel,https://map.feedingamerica.org/county/2022/overall/maryland/county/anne-arundel,61640,10.5,57.0,43.0,4.45,51598000.0,
2022,Baltimore County,https://map.feedingamerica.org/county/2022/overall/maryland/county/baltimore,102630,12.1,41.0,59.0,4.29,82758000.0,
2022,Baltimore City,https://map.feedingamerica.org/county/2022/overall/maryland/county/baltimore-city,90750,15.5,29.0,71.0,4.86,82969000.0,
2022,Calvert,https://map.feedingamerica.org/county/2022/overall/maryland/county/calvert,8890,9.5,62.0,38.0,4.62,7728000.0,
2022,Caroline,https://map.feedingamerica.org/county/2022/overall/maryland/county/caroline,4820,14.5,12.0,88.0,3.79,3437000.0,
2022,Carroll,https://map.feedingamerica.org/county/2022/overall/maryland/county/carroll,19730,11.4,61.0,39.0,4.36,16178000.0,
2022,Cecil,https://map.feedingamerica.org/county/2022/overall/maryland/county/cecil,14180,13.7,32.0,68.0,4.03,10738000.0,
2022,Charles,https://map.feedingamerica.org/county/2022/overall/maryland/county/charles,13180,7.9,53.0,47.0,4.21,10443000.0,
2022,Dorchester,https://map.feedingamerica.org/county/2022/overall/maryland/county/dorchester,4990,15.3,19.0,81.0,3.81,3573000.0,
2022,Frederick,https://map.feedingamerica.org/county/2022/overall/maryland/county/frederick,30360,11.1,58.0,42.0,4.36,24915000.0,
2022,Garrett,https://map.feedingamerica.org/county/2022/overall/maryland/county/garrett,4480,15.5,23.0,77.0,3.77,3175000.0,
2022,Harford,https://map.feedingamerica.org/county/2022/overall/maryland/county/harford,29210,11.2,52.0,48.0,4.41,24207000.0,
2022,Howard,https://map.feedingamerica.org/county/2022/overall/maryland/county/howard,32130,9.7,60.0,40.0,4.78,28900000.0,
2022,Kent,https://map.feedingamerica.org/county/2022/overall/maryland/county/kent,2660,13.8,34.0,66.0,4.67,2334000.0,
2022,Montgomery,https://map.feedingamerica.org/county/2022/overall/maryland/county/montgomery,116990,11.1,49.0,51.0,5.0,109984000.0,
2022,Prince George's,https://map.feedingamerica.org/county/2022/overall/maryland/county/prince-georges,88810,9.3,44.0,56.0,4.49,75037000.0,
2022,Queen Anne's,https://map.feedingamerica.org/county/2022/overall/maryland/county/queen-annes,5780,11.5,58.0,42.0,4.67,5071000.0,
2022,Somerset,https://map.feedingamerica.org/county/2022/overall/maryland/county/somerset,3970,16.1,35.0,65.0,3.82,2855000.0,
2022,St. Mary's,https://map.feedingamerica.org/county/2022/overall/maryland/county/st-marys,13410,11.8,50.0,50.0,4.28,10792000.0,
2022,Talbot,https://map.feedingamerica.org/county/2022/overall/maryland/county/talbot,5230,13.9,41.0,60.0,4.65,4575000.0,
2022,Washington,https://map.feedingamerica.org/county/2022/overall/maryland/county/washington,23320,15.1,32.0,68.0,4.08,17898000.0,
2022,Wicomico,https://map.feedingamerica.org/county/2022/overall/maryland/county/wicomico,14400,13.9,23.0,77.0,3.91,10583000.0,
2022,Worcester,https://map.feedingamerica.org/county/2022/overall/maryland/county/worcester,7350,13.9,36.0,64.0,4.21,5815000.0,
2023,Allegany,https://map.feedingamerica.org/county/2023/overall/maryland/county/allegany,12590,18.6,24.0,76.0,3.55,8467000.0,
2023,Anne Arundel,https://map.feedingamerica.org/county/2023/overall/maryland/county/anne-arundel,66310,11.2,60.0,40.0,3.89,48924000.0,
2023,Baltimore County,https://map.feedingamerica.org/county/2023/overall/maryland/county/baltimore,113210,13.3,44.0,56.0,3.8,81517000.0,
2023,Baltimore City,https://map.feedingamerica.org/county/2023/overall/maryland/county/baltimore-city,106180,18.4,29.0,72.0,4.28,86165000.0,
2023,Calvert,https://map.feedingamerica.org/county/2023/overall/maryland/county/calvert,9320,9.9,63.0,37.0,4.18,7382000.0,
2023,Caroline,https://map.feedingamerica.org/county/2023/overall/maryland/county/caroline,5090,15.2,16.0,84.0,3.41,3289000.0,
2023,Carroll,https://map.feedingamerica.org/county/2023/overall/maryland/county/carroll,20120,11.5,64.0,36.0,3.92,14949000.0,
2023,Cecil,https://map.feedingamerica.org/county/2023/overall/maryland/county/cecil,14960,14.3,38.0,62.0,3.6,10215000.0,
2023,Charles,https://map.feedingamerica.org/county/2023/overall/maryland/county/charles,16840,10.0,56.0,44.0,3.71,11847000.0,
2023,Dorchester,https://map.feedingamerica.org/county/2023/overall/maryland/county/dorchester,5490,16.8,26.0,75.0,3.41,3549000.0,
2023,Frederick,https://map.feedingamerica.org/county/2023/overall/maryland/county/frederick,32380,11.6,60.0,40.0,3.9,23907000.0,
2023,Garrett,https://map.feedingamerica.org/county/2023/overall/maryland/county/garrett,4510,15.7,31.0,69.0,3.49,2983000.0,
2023,Harford,https://map.feedingamerica.org/county/2023/overall/maryland/county/harford,30880,11.8,55.0,45.0,3.9,22815000.0,
2023,Howard,https://map.feedingamerica.org/county/2023/overall/maryland/county/howard,35190,10.5,64.0,36.0,4.27,28493000.0,
2023,Kent,https://map.feedingamerica.org/county/2023/overall/maryland/county/kent,2810,14.6,34.0,66.0,4.12,2196000.0,
2023,Montgomery,https://map.feedingamerica.org/county/2023/overall/maryland/county/montgomery,128140,12.1,52.0,48.0,4.45,108147000.0,
2023,Prince George's,https://map.feedingamerica.org/county/2023/overall/maryland/county/prince-georges,115720,12.1,45.0,55.0,3.95,86607000.0,
2023,Queen Anne's,https://map.feedingamerica.org/county/2023/overall/maryland/county/queen-annes,6080,11.9,60.0,40.0,4.12,4750000.0,
2023,Somerset,https://map.feedingamerica.org/county/2023/overall/maryland/county/somerset,4400,17.8,36.0,64.0,3.37,2807000.0,
2023,St. Mary's,https://map.feedingamerica.org/county/2023/overall/maryland/county/st-marys,14310,12.5,53.0,47.0,3.78,10242000.0,
2023,Talbot,https://map.feedingamerica.org/county/2023/overall/maryland/county/talbot,5570,14.8,41.0,59.0,4.16,4388000.0,
2023,Washington,https://map.feedingamerica.org/county/2023/overall/maryland/county/washington,24540,15.8,35.0,65.0,3.56,16577000.0,
2023,Wicomico,https://map.feedingamerica.org/county/2023/overall/maryland/county/wicomico,15770,15.2,28.0,72.0,3.43,10251000.0,
2023,Worcester,https://map.feedingamerica.org/county/2023/overall/maryland/county/worcester,7640,14.3,40.0,60.0,3.78,5470000.0,
